City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
321,al jawf,29.5,38.75,33.74,20,0,5.32,SA,1693304084
322,argo,37.6333,22.7333,29.32,24,2,3.67,GR,1693303849
323,kununurra,-15.7667,128.7333,27.99,26,78,2.57,AU,1693304087
324,fuman,37.2273,49.3142,28.72,53,13,3.51,IR,1693304087
325,tukrah,32.5341,20.5791,33.13,33,1,3.42,LY,1693304088
326,larmor-plage,47.7065,-3.3834,17.79,78,100,1.03,FR,1693304088
327,taksimo,56.3444,114.8794,22.2,51,2,1.24,RU,1693304088
328,al muwayh,22.4333,41.7583,39.54,7,70,7.32,SA,1693304089
329,goure,13.9835,10.2704,33.82,38,100,5.8,NE,1693304090
330,broome,42.2506,-75.833,18.68,90,40,2.06,US,1693304090
331,guane,22.2025,-84.0875,25.65,96,100,12.31,CU,1693304091
332,hlusk,52.903,28.6845,26.92,46,89,4.41,BY,1693304091
333,saint-pourcain-sur-sioule,46.3093,3.2879,18.97,55,3,3.01,FR,1693304092
334,tocopilla,-22.092,-70.1979,17.68,67,14,1.28,CL,1693304063
335,macapa,0.0389,-51.0664,24.99,88,20,0.0,BR,1693303957
336,ad dilam,23.9915,47.1627,45.25,10,6,6.86,SA,1693303938
337,taoudenni,22.6783,-3.9836,39.52,25,22,3.74,ML,1693304093
338,port blair,11.6667,92.75,29.02,74,40,4.12,IN,1693304094
339,leamington,42.0549,-82.6062,14.93,77,0,0.84,CA,1693304094
340,alofi,-19.0595,-169.9187,19.94,88,100,3.6,NU,1693304095
341,kota bharu,6.1333,102.2386,28.59,81,78,0.78,MY,1693303967
342,kudymkar,59.0173,54.656,15.83,51,42,4.04,RU,1693304054
343,bairnsdale,-37.8333,147.6167,13.16,82,98,2.08,AU,1693304097
344,traverse city,44.7631,-85.6206,20.04,71,100,4.12,US,1693304097
345,tarawa,1.419,172.984,29.05,79,100,2.06,KI,1693304098
346,kirensk,57.7853,108.1119,25.63,58,7,1.27,RU,1693304098
347,sao joao da barra,-21.6403,-41.0511,19.05,95,100,1.99,BR,1693304099
348,lobujya,27.95,86.8167,6.56,67,25,2.8,NP,1693304099
349,guerrero negro,27.9769,-114.0611,21.53,80,91,3.79,MX,1693304100
350,batesville,35.7698,-91.641,17.23,94,0,1.54,US,1693304100
351,kourou,5.1552,-52.6478,24.03,87,4,2.84,GF,1693304101
352,mount isa,-20.7333,139.5,18.87,39,42,0.0,AU,1693303874
353,usinsk,65.9939,57.5281,14.58,54,51,2.24,RU,1693304103
354,kruisfontein,-34.0033,24.7314,30.49,15,0,7.24,ZA,1693304104
355,puerto aysen,-45.4,-72.7,4.7,99,100,1.93,CL,1693303964
